     0       1      2                                                            4   5
22  21  建筑基本信息   建成时间                                                         ≥25年  黄色
23  22     NaN    NaN                                                         ≥40年  橙色
24  23     NaN   设计方式                                               无专业设计（未采用标准图集）  黄色
25  24     NaN  改扩建情况                                                  存在改扩建情况至少1次  橙色
2    1  建筑结构信息   地基基础                    地基基础保持稳定，无明显不均匀沉降；上部结构无不均匀沉降裂缝和倾斜，外露基础完好。  蓝色
3    2     NaN    NaN                   地基基础保持稳定，无明显不均匀沉降；上部结构有轻微不均匀沉降裂缝，外露基础基本完好。  黄色
4    3     NaN    NaN    地基基础出现少量损坏，有较明显的不均匀沉降，上部结构出现明显不均匀沉降裂缝，或外露基础明显腐蚀、酥碱、松散和剥落。  橙色
5    4     NaN    NaN                地基基础局部或整体塌陷；上部结构不均匀沉降裂缝严重，且继续发展尚未稳定，或已出现明显倾斜。  红色
6    5     NaN     墙体                   承重墙体基本完好，无明显受力裂缝和变形；墙体转角处和纵、横墙交接处无松动、脱闪现象。  蓝色
7    6     NaN    NaN                        承重墙体有少量受力裂缝和变形；墙体转角处和纵、横墙交接处无松动、脱闪现象。  黄色
8    7     NaN    NaN          承重墙体多数受力裂缝，部分承重墙体明显位移和歪闪；部分山墙转角处和纵、横墙交接处有明显松动、脱闪现象。  橙色
9    8     NaN    NaN                        承重墙体有明显歪闪、局部酥碎或倒塌；墙角处和纵、横墙交接处普遍松动和开裂。  红色
10   9     NaN    梁、柱                               梁、柱完好，无明显受力裂缝和变形，梁、柱节点无破损，无裂缝。  蓝色
11  10     NaN    NaN                                     梁、柱有轻微受力裂缝，梁、柱节点无破损，无裂缝。  黄色
12  11     NaN    NaN                          梁、柱出现受力裂缝，但未完全丧失承载能力；个别梁柱节点破损和开裂明显。  橙色
13  12     NaN    NaN            梁、柱节点损坏严重；梁、柱普遍开裂；梁、柱有明显变形和位移；部分柱基座滑移严重，有歪闪或局部倒塌。  红色
14  13     NaN   楼、屋盖                               楼板、屋盖板无明显受力裂缝和变形，板与梁搭接处无松动和裂缝。  蓝色
15  14     NaN    NaN      楼、屋盖板有轻微受力裂缝，但无明显变形；板与墙、梁搭接处有松动和轻微受力裂缝；屋架无倾斜，屋架与柱无明显位移。  黄色
16  15     NaN    NaN                    楼、屋盖板有明显开裂；楼、屋盖板与墙、梁搭接处松动和明显受力裂缝，个别屋面板塌落。  橙色
17  16     NaN    NaN  楼、屋盖板普遍开裂，且部分严重开裂；楼、屋盖板与墙、梁搭接处有松动和严重开裂，部分屋面板塌落；屋架歪闪，部分屋盖塌落。  红色
18  17     NaN   次要构件                                      非承重墙体、出屋面楼梯间墙体完好或有轻微裂缝。  蓝色
19  18     NaN    NaN                      非承重墙体、出屋面楼梯间墙体等有轻微受力裂缝；抹灰等饰面层可有裂缝或局部散落。  黄色
20  19     NaN    NaN                     非承重墙体普遍明显受力裂缝；部分山墙转角处和纵、横墙交接处有明显松动、脱闪现象。  橙色
21  20     NaN    NaN                                           非承重墙、女儿墙局部倒塌或严重开裂。  红色
